org_mnemonic,fan_id,action_date,uphoria_page,uphoria_widget
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Brand Page,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,More,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Brand Page,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Tickets,IMAGE_WIDGET
RICE,da9f3eab-d10a-4dbb-935e-7bfe10b3b6e3,2021-08-25,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,More,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Event Day,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Brand Page,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Splash Page,
RICE,b3771ff1-065a-422b-9e09-b1e1bc0d5960,2021-09-01,Tickets,IMAGE_WIDGET
RICE,ae13e7c5-2fb5-4101-aa80-3854dcbe9a4f,2021-09-01,Tickets,IMAGE_WIDGET
RICE,b3771ff1-065a-422b-9e09-b1e1bc0d5960,2021-09-01,Tickets,IMAGE_WIDGET
RICE,ae13e7c5-2fb5-4101-aa80-3854dcbe9a4f,2021-09-01,Tickets,IMAGE_WIDGET
RICE,d3b6808e-aecb-4971-b200-a97e7ec09779,2021-09-01,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-09-01,Tickets,IMAGE_WIDGET
RICE,b3771ff1-065a-422b-9e09-b1e1bc0d5960,2021-09-01,Tickets,IMAGE_WIDGET
RICE,a6f800fe-8ec3-4edd-b7c0-1a0a9d5e2d46,2021-09-01,Tickets,IMAGE_WIDGET
RICE,c86bb930-5eb9-419a-9aa2-7210d717e458,2021-09-01,Splash Page,
RICE,ae13e7c5-2fb5-4101-aa80-3854dcbe9a4f,2021-09-01,Splash Page,
RICE,ebe987e2-56dd-4ecc-87ad-c9e4a46fe9ec,2021-09-01,Splash Page,
RICE,ea043348-426e-4f13-b511-d8fef2edc7af,2021-09-01,Splash Page,
RICE,6f2b355f-31db-4ff3-9966-b9730957c53c,2021-09-01,Splash Page,
RICE,47cb0bbd-aab7-46e9-a16d-32e83d38807d,2021-09-01,Splash Page,
RICE,dd501104-2828-4658-8f3a-ffc51f066f0f,2021-09-01,Splash Page,
RICE,b3771ff1-065a-422b-9e09-b1e1bc0d5960,2021-09-01,Splash Page,
RICE,790628ac-1a24-4ea5-937d-1119d0bdb695,2021-09-01,Splash Page,
RICE,a6f800fe-8ec3-4edd-b7c0-1a0a9d5e2d46,2021-09-01,Splash Page,
RICE,5bfdb728-63b5-4259-9e8e-fd20e743d77f,2021-09-01,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-09-01,Splash Page,
RICE,ca0622a6-e965-449b-8690-c3d7eb1a3afa,2021-09-01,Splash Page,
RICE,44ed8681-c267-4cdd-9e27-17cc071fd0b2,2021-09-01,Splash Page,
RICE,ce4c6df4-d673-4947-a7e1-dfcaaf1d15d3,2021-09-01,Splash Page,
RICE,c3010eff-b538-47aa-a7b1-9ccf9ee6eaea,2021-09-03,Tickets,IMAGE_WIDGET
RICE,65844c44-cedc-45ed-99bf-83e39057c5ce,2021-09-03,Tickets,IMAGE_WIDGET
